t,x,y
0.0000,392,24
0.0556,487,79
0.1111,367,243
0.1667,116,283
0.2222,42,225
0.2778,34,161
0.3333,34,94
0.3889,54,52
0.4444,41,45
0.5000,58,33
0.5556,118,29
0.6111,118,16
0.6667,232,16
0.7222,321,39
0.7778,392,92
0.8333,282,190
0.8889,147,246
0.9444,53,193
1.0000,52,136
1.0556,63,79
1.1111,59,78
1.1667,94,22
1.2222,101,58
1.2778,115,29
1.3333,182,24
1.3889,229,39
1.4444,296,70
1.5000,296,139
1.5556,167,211
1.6111,102,199
1.6667,81,145
1.7222,84,108
1.7778,51,71
1.8333,66,47
1.8889,110,47
1.9444,101,51
2.0000,191,38
2.0556,241,47
2.1111,263,73
2.1667,251,123
2.2222,148,189
2.2778,166,170
2.3333,77,123
2.3889,89,111
2.4444,95,88
2.5000,99,69
2.5556,128,57
2.6111,110,46
2.6667,153,54
2.7222,233,79
2.7778,216,92
2.8333,200,123
2.8889,144,154
2.9444,124,178
3.0000,66,129
